time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-02-02T19:29:17.559Z,0.7668,98.5133,64.46,4.7,mb,,68,1.078,0.9,us,us7000gheg,2022-02-02T23:08:57.337Z,"108 km SW of Padangsidempuan, Indonesia",earthquake,7.2,7.7,0.096,33,reviewed,us,us
2022-02-02T19:23:01.312Z,-32.2348,-179.0518,67.99,5.3,mww,,56,3.119,1.15,us,us7000ghed,2022-02-03T19:26:17.080Z,"south of the Kermadec Islands",earthquake,6.6,4.6,0.061,26,reviewed,us,us
2022-02-02T18:13:01.069Z,-28.051,-175.5747,10,5.5,mww,,79,2.388,1.18,us,us7000ghcw,2022-02-03T18:16:32.579Z,"Kermadec Islands region",earthquake,9.3,1.8,0.06,27,reviewed,us,us
2022-02-02T17:26:30.912Z,-29.8304,-176.4596,10,4.8,mb,,116,1.393,0.79,us,us7000gj45,2022-02-08T17:16:42.040Z,"Kermadec Islands region",earthquake,12.9,1.9,0.143,15,reviewed,us,us
2022-02-02T16:29:59.956Z,-20.8318,-175.5647,10,4.6,mb,,124,6.764,0.62,us,us7000ghik,2022-02-10T04:35:00.040Z,"50 km NW of Nuku‘alofa, Tonga",earthquake,7.9,1.8,0.141,15,reviewed,us,us
2022-02-02T11:42:15.165Z,14.3172,-93.4157,10,5.1,mww,,142,2.31,0.73,us,us7000ghac,2022-02-02T12:31:13.216Z,"116 km WSW of Puerto Madero, Mexico",earthquake,8.5,1.9,0.046,46,reviewed,us,us
2022-02-02T10:26:33.224Z,-21.1831,-174.1815,8.16,5.5,mww,,46,7.799,0.83,us,us7000gh9y,2022-02-03T10:29:35.017Z,"81 km ENE of ‘Ohonua, Tonga",earthquake,9,4.3,0.098,10,reviewed,us,us
2022-02-02T10:18:15.510Z,-27.8772,-176.3238,10,5.3,mww,,70,1.968,0.62,us,us7000gh9v,2022-02-02T11:38:41.040Z,"Kermadec Islands region",earthquake,10.3,1.9,0.098,10,reviewed,us,us
2022-02-02T08:36:47.033Z,-6.5075,153.6274,10,4.9,mb,,32,14.057,1.17,us,us7000gh9g,2022-02-02T09:23:55.040Z,"206 km W of Panguna, Papua New Guinea",earthquake,7.8,1.7,0.089,54,reviewed,us,us
2022-02-02T05:32:32.274Z,-27.8217,-176.3601,10,5.6,mww,,54,1.985,1.02,us,us7000gh89,2022-02-03T05:36:39.871Z,"Kermadec Islands region",earthquake,8.9,1.7,0.069,20,reviewed,us,us
